882,andy_gilpin,-1
883,andyburrell,-1
884,andycory2,wef
885,andyfillmorehfx,h_u_i_r
886,andygame,wef
887,andyharrisucl,-1
888,andyjayhawk,dandoctoroff
889,andykarvonen,msftcitynext
890,andyourlildgtoo,lah9891
891,andypuddicombe,sureshkito
892,andyrennecke,-1
893,andywarholsepi,msftcitynext
894,anelfernando,coitta_aagit
895,anexamplerd,thinkbigkc
896,angelaauteur,bearlytech
897,angelabarbano,fabbriflav2
898,angelaleaney,-1
899,angeletti_vale,michelevianello
900,angeliqueashby,-1
901,angeljulien,bigdatatweetbot
902,angelnews,bigdatatweetbot
903,angelpreeti85,intelindia
904,angelruizperez,intel_la
905,angeltem,h_u_i_r
906,angers,bearlytech
907,angerstech,bearlytech
908,angie_08perez,amitenterprise
909,angie_al17,jodikoberinski
910,angryamerican97,-1
911,angulosiete,scepuebla
912,angustaylormp,-1
913,ani_news,-1
914,anig91,intel
915,anil3dndr,_subhashchandra
916,anil_cisco,msftcitynext
917,anil_prongs,-1
918,anilkssocialnet,skull_baba
919,anilkum76625477,skull_baba
920,anilkumar6532,narendramodi
921,animesh1804,amadumoole
922,animycity,bearlytech
923,aniqmatic,-1
924,anirbanc8488,h_u_i_r
925,anirudhvalluri,attbusiness
926,anisharavind,-1
927,anishasharma002,smartcityexpo
928,anissaducrot,gazzema
929,anittacollins,dhcmumbai
930,aniuskis_b,bigdatatweetbot
931,anjaliprema1,evanderburg
932,anjana95tiwari1,amadumoole
933,anjareschke,c40cities
934,anjayaatoi,narendramodi
935,anjneyaparashar,anjneyaparashar
936,anjulgarg,-1
937,ankitlunia2011,bigdatatweetbot
938,ankurtipss,-1
939,ankushpal_kv,skull_baba
940,anna_blume_hh,gazzema
941,anna_bxl,gazzema
942,anna_gayle2,attbusiness
943,annabohler,h_u_i_r
944,annaminton,turner_briony
945,annamor17,-1
946,annapelesikoti,sassoftware
947,annapurnaharry,-1
948,annapurnait_de,-1
949,annbrusseel,journaldunet
950,anneabsalom,-1
951,annecoreau,bearlytech
952,anneengo,-1
953,anneeno,-1
954,annemartialle,bigdatatweetbot
955,annesophieguill,bearlytech
956,anneswinbourne,bigdatatweetbot
957,annielichtner,bearlytech
958,anondesi,-1
959,anpamo66,espanaqricaes
960,anqatisara,senjeffmerkley
961,ansari1279,-1
962,anselmonadir,jodikoberinski
963,anshulaj,fakingnews
